Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-04-20,29-111,MIA,,CHA,W (+11),1,38:32,8,16,.500,4,8,.500,7,10,.700,0,9,9,1,0,0,3,1,27,17.8,0
2,2,2014-04-23,29-114,MIA,,CHA,W (+4),1,39:50,11,17,.647,1,5,.200,9,12,.750,0,6,6,8,4,0,4,2,32,29.9,+6
3,3,2014-04-26,29-117,MIA,@,CHA,W (+13),1,35:59,10,18,.556,1,2,.500,9,10,.900,0,10,10,6,2,0,2,1,30,27.8,+20
4,4,2014-04-28,29-119,MIA,@,CHA,W (+11),1,42:54,10,19,.526,1,5,.200,10,12,.833,0,7,7,9,3,1,2,3,31,29.8,+12
5,5,2014-05-06,29-127,MIA,,BRK,W (+21),1,36:21,10,15,.667,0,0,,2,2,1.000,1,4,5,3,0,0,1,2,22,17.7,+10
6,6,2014-05-08,29-129,MIA,,BRK,W (+12),1,39:07,9,18,.500,0,3,.000,4,6,.667,0,4,4,3,2,1,2,2,22,15.4,+6
7,7,2014-05-10,29-131,MIA,@,BRK,L (-14),1,39:39,8,15,.533,3,7,.429,9,10,.900,0,8,8,5,1,1,2,2,28,25.1,-14
8,8,2014-05-12,29-133,MIA,@,BRK,W (+6),1,43:28,16,24,.667,3,6,.500,14,19,.737,0,6,6,2,3,0,1,5,49,39.8,+13
9,9,2014-05-14,29-135,MIA,,BRK,W (+2),1,43:36,6,14,.429,2,5,.400,15,17,.882,2,7,9,5,0,1,5,1,29,23.1,+4
10,10,2014-05-18,29-139,MIA,@,IND,L (-11),1,40:50,11,18,.611,1,5,.200,2,2,1.000,1,9,10,5,3,0,4,3,25,21.5,-13
11,11,2014-05-20,29-141,MIA,@,IND,W (+4),1,42:21,9,18,.500,1,5,.200,3,6,.500,0,7,7,6,2,3,3,3,22,18.0,+4
12,12,2014-05-24,29-145,MIA,,IND,W (+12),1,39:46,9,14,.643,1,2,.500,7,9,.778,1,4,5,7,3,0,6,2,26,22.0,+24
13,13,2014-05-26,29-147,MIA,,IND,W (+12),1,35:48,13,21,.619,2,3,.667,4,4,1.000,0,10,10,5,2,0,2,3,32,27.8,+10
14,14,2014-05-28,29-149,MIA,@,IND,L (-3),1,24:21,2,10,.200,1,3,.333,2,3,.667,1,1,2,4,0,1,3,5,7,-0.1,+1
15,15,2014-05-30,29-151,MIA,,IND,W (+25),1,31:39,8,12,.667,0,0,,9,9,1.000,1,3,4,6,1,1,2,1,25,24.9,+27
16,16,2014-06-05,29-157,MIA,@,SAS,L (-15),1,32:53,9,17,.529,2,3,.667,5,6,.833,3,3,6,3,3,0,4,1,25,20.0,0
17,17,2014-06-08,29-160,MIA,@,SAS,W (+2),1,37:36,14,22,.636,3,3,1.000,4,5,.800,2,8,10,3,2,0,4,3,35,27.5,+11
18,18,2014-06-10,29-162,MIA,,SAS,L (-19),1,39:49,9,14,.643,2,4,.500,2,3,.667,1,4,5,7,5,0,7,5,22,18.2,-21
19,19,2014-06-12,29-164,MIA,,SAS,L (-21),1,37:39,10,17,.588,4,8,.500,4,6,.667,0,8,8,2,0,0,3,0,28,20.1,-21
20,20,2014-06-15,29-167,MIA,@,SAS,L (-17),1,41:16,10,21,.476,3,9,.333,8,9,.889,1,9,10,5,0,2,1,1,31,26.8,-16
